AccountId,Name,EMailAddress1,New_MainCategory,new_countryoforiginidName,New_officeId,New_Street1,New_Street2,New_ZIPPostalCode,New_City,new_countryidName
c7e20de0-e0da-e111-875f-00155d000f01,Kone Foundation,koneensaatio@koneensaatio.fi,1,Finland,193dcef6-e0da-e111-875f-00155d000f01,Tehtaankatu 21 B 49,,00150,Helsinki,Finland
876af96b-e7ab-e211-8907-00155d001608,Fondation d’Entreprise Chanel,info@fondationchanel.org,2,France,dfd1c9e3-e7ab-e211-8907-00155d001608,135 Av. Charles de Gaulle,,92200,Neuilly-sur-Seine,France
add3baec-60a0-e211-92ae-00155d001608,IKEA Foundation,info@ikeafoundation.org,2,Netherlands,c72c0f2a-61a0-e211-92ae-00155d001608,Dellaertweg 9G,,2316WZ,Leiden,Netherlands
ad0860f8-82d9-e211-aa2c-00155d001608,Fundación Banco Santander,fundacionbs@gruposantander.com,,Spain,2e68120a-83d9-e211-aa2c-00155d001608,C/ Serrano 92,,28006,Madrid,Spain
04a54f24-3602-e211-ab02-00155d001608,"Walt Disney Co., The",jeff.archambault@disney.com,2,United States,f2a0bc11-3702-e211-ab02-00155d001608,25 Quai Panhard et Levassor,,75644,Paris Cedex 13,France
2d44c330-3887-e211-adea-00155d001608,Medicor Foundation,info@medicor.li,1,Liechtenstein,b95ce016-4187-e211-adea-00155d001608,Landstrasse 11,P. O. Box 130,9495,Triesen,Liechtenstein
610a9dcc-1fb7-e211-b548-00155d001608,University Fund Wageningen,study@wur.nl,1,Netherlands,d3442402-20b7-e211-b548-00155d001608,Droevendaalse steeg 4,,6700 HB,Wageningen,Netherlands
f027ef3b-a3bb-e211-b548-00155d001608,TIMA Charitable Foundation,info@timafoundation.org,1,Greece,089d38c8-a3bb-e211-b548-00155d001608,65 Akti Miaouli,,185 36,Piraeus,Greece
5232c1d6-33cc-e211-b8c9-00155d001608,Fondazione Bracco,segreteria@fondazionebracco.com,2,Italy,37517a09-34cc-e211-b8c9-00155d001608,"Via Cino del Duca, 8",,20122,Milan,Italy
e83b7c66-4da3-e211-bc1c-00155d001608,Kultura Nova Foundation,info@kulturanova.hr,,Croatia,6a53bbaf-4da3-e211-bc1c-00155d001608,Frankopanska 5/2,,10 000,Zagreb,Croatia
f6ad9a5b-ff20-e311-bf0f-00155d001608,Trust for Social Achievement Foundation,info@tsa-bulgaria.org,1,Bulgaria,4acfcb6f-ff20-e311-bf0f-00155d001608,"64 P. Evtimiy Blvd, Fl. 1",,1000,Sofia,Bulgaria
50be3687-3321-e311-bf0f-00155d001608,Romanian-American Foundation,office@rafonline.org,1,United States,ece3f9a7-3421-e311-bf0f-00155d001608,"6, Gina Patrichi (former Orlando) Street",,010449,Bucharest 1,Romania
527541f8-b036-e111-8306-00155d001800,Fondation BNP Paribas,fondation@bnpparibas.com,2,France,4de96624-b136-e111-8306-00155d001800,Rue d'Antin 3,,75002,Paris,France
dbdbd43c-53b6-dd11-b898-00188b804fcd,Van Leer Group Foundation,jacquelinejacob@vanleergroupfoundation.nl,1,Netherlands,069c7dfc-eb95-e111-8431-00155d001800,Lange Houtstraat 2,,2511 CW,Den Haag,Netherlands
2ebec44e-53b6-dd11-b898-00188b804fcd,Paul Hamlyn Foundation,information@phf.org.uk,,United Kingdom,dafde80b-8f42-e111-8de3-00155d001800,5-11 Leeke Street,,WC1X 9HY,London,United Kingdom
a2c4dd4b-d99d-e111-900b-00155d001800,Anadolu Eğitim ve Sosyal Yardım Vakfı,,1,Turkey,a7194064-d99d-e111-900b-00155d001800,Fatih Sultan Mehmet Mah.,Balkan Cad. No:58 Buyaka E Blok,34771,Tepeüstü / Ümraniye,Turkey
38ec761b-3077-e111-af39-00155d001800,"Society of Swedish Literature in Finland, The",info@sls.fi,1,Finland,34364b2c-3077-e111-af39-00155d001800,Ritarikatus 5,,00170,Helsingfors,Finland
fdad9cb4-4066-e311-bb67-00155d33170f,Global Fund for Community Foundations,info@globalfundcf.org,,South Africa,5499409e-4667-e311-bb67-00155d33170f,PostNet Suite 135,Private Bag X2600 Houghton,2041,Johannesburg,South Africa
ece0126a-1ac5-e111-8421-00155d001800,Southern Africa Trust,info@southernafricatrust.org,1,South Africa,f8d00aa6-ba76-e311-bb67-00155d33170f,4 Midridge North,"International Business Gateway, 6th Road",,Midrand,South Africa
ae0cdd08-f7ed-e211-945b-00155d001608,Porticus,info@porticus.com,1,Netherlands,b15c6f00-0b13-e411-8ef0-00155d331718,P.O. Box 7867,,1008 AB,Amsterdam,Netherlands
9f28e530-53b6-dd11-b898-00188b804fcd,Conrad N. Hilton Foundation,alecia@hiltonfoundation.org,2,United States,208cc64d-6284-e511-8897-00155d33171d,30440 Agoura Road,,91301,Agoura Hills,United States
53973bb1-ec86-e511-8897-00155d33171d,"Bader Philanthropies, Inc.",info@bader.org,1,United States,dc2903d3-ec86-e511-8897-00155d33171d,233 North Water Street,Fourth Floor,WI 53202,Milwaukee,United States
8ab3cb48-53b6-dd11-b898-00188b804fcd,Aga Khan Foundation UK,front.office@akdn.org,,United Kingdom,0997ee49-c679-e611-8cb7-00155d33171d,210 Euston Road,,NW1 2DA,London,United Kingdom
ca52fa31-97d4-e511-905d-00155d33171d,NGENA Foundation,charlene@ngenafoundation.org,1,United States,3367157f-97d4-e511-905d-00155d33171d,601 Massachusetts Avenue NW,,DC 20268,Washington,United States
29f510cf-6d87-e311-8702-00155d331818,"U.S. Russia Foundation for Economic Advancement and the Rule of Law, The",info@usrf.ru,,Russia,39d2f78f-d0e5-e511-905d-00155d33171d,"137 Mitchells Chance Rd, Suite 137",,21037,"Edgewater, MD",United States
68dbd43c-53b6-dd11-b898-00188b804fcd,Taawon,,1,Switzerland,0dc201e5-d5ee-e511-905d-00155d33171d,PO BOX 3765,,1211,Geneva 3,Switzerland
c4739860-041c-e611-b339-00155d33171d,Barilla Center for Food & Nutrition Foundation,info@barillacfn.com,,Italy,d9bda194-791e-e611-9a3b-00155d33171d,"Via Madre Teresa di Calcutta, 3/a",,43121,Parma,Italy
5b35202a-96c6-e611-a3f7-00155d33171d,Fundacion Maria Cristina Masaveu Peterson,secretaria@fundacioncristinamasaveu.com,,Spain,247d489a-9ec6-e611-a3f7-00155d33171d,Alcalá Galiano 6,,28010,Madrid,Spain
bb991307-623b-e511-b179-00155d33171d,Societé Anonyme des Galeries Lafayette,contactgroup@galerieslafayette.com,2,France,9ca5cf55-623b-e511-b179-00155d33171d,40 bd Haussmann,,75009,Paris,France
fe8d6e11-4fc1-e311-8703-00155d331818,Lumos Foundation,info@lumos.org.uk,,United Kingdom,779eec42-193c-e511-b179-00155d33171d,"Gredley House, 1-11 Broadway",Stratford,E15 4BQ,London,United Kingdom
c796bb5a-53b6-dd11-b898-00188b804fcd,Bikuben Foundation,info@bikubenfonden.dk,1,Denmark,1fd9af3b-815b-e511-b179-00155d33171d,Otto Mønsteds Gade 5,,1571,Copenhagen V,Denmark
93d2129a-3a5a-e211-8129-00155d001608,Rinat Akhmetov Foundation,,,Ukraine,0dd0d915-c965-e511-b179-00155d33171d,"st. Elias, 8",,04070,Kiev,Ukraine
825d2e30-0629-e411-8caf-00155d331923,Fonds Schiedam Vlaardingen e.o.,algemeen@fondssv.nl,1,Netherlands,cdc5cf61-0629-e411-8caf-00155d331923,Schiedamseweg 53,,3134 BB,Vlaardingen,Netherlands
ff3dc4a4-1629-e411-8caf-00155d331923,Faerchfonden,faerchfonden@faerchfonden.dk,2,Denmark,7f4c9b2a-1729-e411-8caf-00155d331923,Lille Østergade 8,,7500,Holstebro,Denmark
81c48129-c686-e411-b56b-00155d331923,Fundación Abogacía Española,informacion@fundacionabogacia.org,1,Spain,cb7738c1-c686-e411-b56b-00155d331923,"Paseo de Recoletos, 13",,28004,Madrid,Spain
32078e4d-059c-e411-b56b-00155d331923,Fondation Groupe EDF,foundation-edf@edf.fr,2,France,5efb2772-059c-e411-b56b-00155d331923,9 avenue Percier,,75008,Paris,France
4e3c58d4-b1f2-e211-85bf-00155d001608,Maecenata Foundation,mst@maecenata.eu,1,Germany,131e917e-3aa5-e411-b56b-00155d331923,Linienstrasse 139,,10115,Berlin,Germany
a7c3d7e5-70a8-e411-b56b-00155d331923,JTI Foundation,info@jtifoundation.org,2,Switzerland,54c2b10d-71a8-e411-b56b-00155d331923,8 rue Kazem Radjavi,,1202,Geneva,Switzerland
dd14a7b0-bfb2-e411-b56b-00155d331923,KR Foundation,info@krfnd.org,,Denmark,dee92625-c0b2-e411-b56b-00155d331923,Havnegade 39,,1058,Copenhagen,Denmark
f7bda557-8fb6-e411-b56b-00155d331923,Svenska folkskolans vänner r.f.,sfv@sfv.fi,,Finland,7760bd7b-8fb6-e411-b56b-00155d331923,Annegatan 12 A,,00120,Helsinki,Finland
ac28e530-53b6-dd11-b898-00188b804fcd,Stichting VSBfonds,antonn@vsbfonds.nl,1,Netherlands,205823fd-a6c1-e411-b56b-00155d331923,Maliebaan 14,,3581 CN,Utrecht,Netherlands
e1d0db36-53b6-dd11-b898-00188b804fcd,Foundation for Polish Science,fnp@fnp.org.pl,1,Poland,c482d242-14c7-e411-b56b-00155d331923,Ignacego Krasickiego 20/22,,02-611,Warsaw,Poland
9a34d505-32c7-e411-b56b-00155d331923,Gjensidigestiftelsen,mail@gjensidigestiftelsen.no,1,Norway,0754dc30-32c7-e411-b56b-00155d331923,"Grundingen 6, Aker Brygge",,0250,Oslo,Norway
9ae315bd-53ef-e411-b56b-00155d331923,European Foundation for Philanthropy and Society Development,info@europskazaklada-filantropija.hr,1,Croatia,e64991e3-53ef-e411-b56b-00155d331923,Heinzelova ulica 62 A,,10000,Zagreb,Croatia
6d10d185-f6f2-e411-b56b-00155d331923,Fondazione Nando ed Elsa Peretti,info@nandoperettifound.org,1,Italy,11ff30a8-f6f2-e411-b56b-00155d331923,"Corso Italia, 19",,00198,Roma,Italy
e2cb1a06-d10d-e511-b56b-00155d331923,"Freedom Fund, The",info@freedomfund.org,1,United Kingdom,9aa3cc0f-5b0f-e511-b56b-00155d331923,Lighterman House,26/36 Wharfdale Road,N1 9RY,London,United Kingdom
81e104de-69d1-e411-b56b-00155d331923,GHR Foundation,info@ghrfoundation.org,1,United States,bf97c0f4-6316-e511-b56b-00155d331923,"Suite 2950, 60 South 6th Street",,55402,"Minneapolis, MN",United States
6900d00d-c931-df11-8156-00188b804fcd,Fondation Lombard Odier,contact@fondationlombardodier.org,,Switzerland,16471e97-c931-df11-8156-00188b804fcd,"11, rue de la Corraterie",,1204,Geneva,Switzerland
76f68dec-84de-de11-81d4-00188b804fcd,Trafigura Foundation,contact@trafigurafoundation.com,2,Switzerland,65c33d43-86de-de11-81d4-00188b804fcd,"2, Quai de la Poste",,1204,Geneva,Switzerland
c69aa4ac-3280-df11-8416-00188b804fcd,Essl Foundation MGE gemeinnützige Privatstiftung,info@esslsocialprize.org,1,Austria,d905b1c9-3280-df11-8416-00188b804fcd,Haus der Philanthropie,Schottenring 16/3.OG - Zugang über Lift 5&6,1010,Wien,Austria
18b4cb48-53b6-dd11-b898-00188b804fcd,Mama Cash Foundation,info@mamacash.org,1,Netherlands,5ce5bcbe-4e9a-df11-8416-00188b804fcd,P.O. Box 15686,,1001 ND,Amsterdam,Netherlands
dc302c55-3aa5-df11-8416-00188b804fcd,Piraeus Bank Group Cultural Foundation,piop@piraeusbank.gr,,Greece,09b77380-3aa5-df11-8416-00188b804fcd,6 Angelou Geronta,,10558,Athens,Greece
bdb58136-59b7-df11-8416-00188b804fcd,Nordea-fonden,kontakt@nordeafonden.dk,,Denmark,d5ce3079-59b7-df11-8416-00188b804fcd,Overgaden Neden Vandet 11,,1414,Copenhagen K,Denmark
b3e8e155-55b6-dd11-b898-00188b804fcd,Johnson & Johnson Corporate Citizenship Trust,fwelvaert@jppbe.jnj.com,2,Belgium,e08905e7-8461-de11-87cc-00188b804fcd,Leonardo Da Vincilaan 15,,1831,Diegem,Belgium
40f512ab-d7fd-dd11-87d0-00188b804fcd,Fondation de Luxembourg,secr@fdlux.lu,,Luxembourg,a6e0b9d0-d7fd-dd11-87d0-00188b804fcd,12 Rue Erasme,,1468,Luxembourg,Luxembourg
636d16e2-5202-de11-87d0-00188b804fcd,Agropolis Foundation,agropolis-fondation@agropolis.fr,1,France,e94722ff-5202-de11-87d0-00188b804fcd,Avenue Agropolis,,34394,Montpellier Cedex 5,France
0f708994-910d-de11-87d0-00188b804fcd,Esmée Fairbairn Foundation,info@esmeefairbairn.org.uk,1,United Kingdom,4b58c7c0-910d-de11-87d0-00188b804fcd,Kings Place,90 York Way,N1 9AG,London,United Kingdom
0ef7c530-422f-de11-8d16-00188b804fcd,Children's Investment Fund Foundation,hnouss@ciff.org,,United Kingdom,bec52954-422f-de11-8d16-00188b804fcd,7 Clifford Street,,W1S 2FT,London,United Kingdom
3668ba7d-4c2f-de11-8d16-00188b804fcd,Enel Cuore Onlus,enelcuore.onlus@enel.com,2,Italy,9a094592-4d2f-de11-8d16-00188b804fcd,"Viale Regina Margherita, 137",,00198,Rome,Italy
2b28e530-53b6-dd11-b898-00188b804fcd,Stefan Batory Foundation,batory@batory.org.pl,1,Poland,1e0e3444-de1a-de11-8f3e-00188b804fcd,ul. Sapiezynska 10a,,00-215,Warsaw,Poland
fc5ccde7-eb1a-de11-8f3e-00188b804fcd,Guerrand-Hermès Foundation for Peace,info@ghfp.org,1,United Kingdom,94024700-ec1a-de11-8f3e-00188b804fcd,199 Preston Road,,BN1 6AW,Brighton,United Kingdom
7ec26d22-a176-de11-91ea-00188b804fcd,M.A.C AIDS Fund,macaidsf@maccosmetics.com,2,United States,7b41b05a-a176-de11-91ea-00188b804fcd,"130 Prince Street, 2nd floor",,NY 10012,New York,United States
37ba8764-a017-de11-91f2-00188b804fcd,Amgen Foundation,ecetlin@amgen.com,2,United States,2d9e6a89-a017-de11-91f2-00188b804fcd,"One Amgen Center Drive, Mailstop 28-1-B",,91320,"Thousand Oaks, CA",United States
6824e278-948d-de11-95cc-00188b804fcd,Siemens Stiftung,info@siemens-stiftung.org,1,Germany,4c1c49ab-948d-de11-95cc-00188b804fcd,Kaiserstrasse 16,,80801,München,Germany
de902966-3e3a-de11-96fa-00188b804fcd,Fondazione CON IL SUD,info@fondazioneperilsud.it,1,Italy,60625d94-3e3a-de11-96fa-00188b804fcd,"Corso Vittorio Emanuele II, 184",,00186,Rome,Italy
fab3cb48-53b6-dd11-b898-00188b804fcd,Cultiva - Kristiansand Kommunes Energiverksstiftelse,post@cultiva.no,1,Norway,71b41375-5415-df11-aab6-00188b804fcd,Vestre Strandgate 27,,4611,Kristiansand,Norway
4a1ce1c0-9f20-df11-aab6-00188b804fcd,Institut Curie,edith.lachet@curie.fr,,France,b5075b47-a020-df11-aab6-00188b804fcd,"26, rue d’Ulm",,750005,Paris Cedex 05,France
82dbd43c-53b6-dd11-b898-00188b804fcd,Fondazione Terzo Pilastro-Italia e Mediterraneo,fondazione@fondazioneterzopilastromediterraneo.it,2,Italy,f368f711-c222-df11-aab6-00188b804fcd,"Palazzo Cipolla – Via dei Montecatini, 17",,00186,Rome,Italy
e9764978-4054-df11-b5ae-00188b804fcd,Fundación Princesa de Asturias,info@fpa.es,,Spain,c9c5f592-4054-df11-b5ae-00188b804fcd,"General Yagüe 2, 1°",,33004,Oviedo,Spain
f227e530-53b6-dd11-b898-00188b804fcd,European Cultural Foundation,ask@culturalfoundation.eu,1,Netherlands,5426cfb5-cbb7-dd11-b898-00188b804fcd,Jan van Goyenkade 5,,1075 HN,Amsterdam,Netherlands
f927e530-53b6-dd11-b898-00188b804fcd,Bernard van Leer Foundation,registry@bvleerf.nl,1,Netherlands,9a26cfb5-cbb7-dd11-b898-00188b804fcd,"Lange Houtstraat 2, P.O. Box 82334",,2511 CW,The Hague,Netherlands
fa27e530-53b6-dd11-b898-00188b804fcd,Oranje Fonds,info@oranjefonds.nl,1,Netherlands,9e26cfb5-cbb7-dd11-b898-00188b804fcd,P.O. Box 90,,3500 AB,Utrecht,Netherlands
fc27e530-53b6-dd11-b898-00188b804fcd,Prins Bernhard Cultuurfonds,info@cultuurfonds.nl,1,Netherlands,a326cfb5-cbb7-dd11-b898-00188b804fcd,"Herengracht 476, 1017 CB Amsterdam, P.O.Box 19750",,1000 GT,Amsterdam,Netherlands
fd27e530-53b6-dd11-b898-00188b804fcd,VolkswagenStiftung,info@volkswagenstiftung.de,1,Germany,a526cfb5-cbb7-dd11-b898-00188b804fcd,Kastanienallee 35,,30519,Hannover,Germany
fe27e530-53b6-dd11-b898-00188b804fcd,Stifterverband für die Deutsche Wissenschaft,michael.sonnabend@stifterverband.de,1,Germany,a726cfb5-cbb7-dd11-b898-00188b804fcd,Barkhovenallee 1,,45239,Essen,Germany
ff27e530-53b6-dd11-b898-00188b804fcd,Robert Bosch Stiftung GmbH,rbsg@bosch-stiftung.de,2,Germany,aa26cfb5-cbb7-dd11-b898-00188b804fcd,Heidehofstraße 31,,70184,Stuttgart,Germany
0028e530-53b6-dd11-b898-00188b804fcd,"Carlsberg Foundation, The",carlsbergfondet@carlsbergfondet.dk,2,Denmark,af26cfb5-cbb7-dd11-b898-00188b804fcd,H.C. Andersens Boulevard 35,,1553,Copenhagen V,Denmark
0328e530-53b6-dd11-b898-00188b804fcd,Riksbankens Jubileumsfond,rj@rj.se,1,Sweden,b226cfb5-cbb7-dd11-b898-00188b804fcd,"Kungsträdgårdsgatan 18, P.O. Box 5675",,114 86,Stockholm,Sweden
0a28e530-53b6-dd11-b898-00188b804fcd,Ford Foundation,office-of-communications@fordfoundation.org,1,United States,c026cfb5-cbb7-dd11-b898-00188b804fcd,1440 Broadway,,10018,"New York, NY",United States
1028e530-53b6-dd11-b898-00188b804fcd,"""la Caixa"" Banking Foundation",info@fundaciolacaixa.es,,Spain,0e27cfb5-cbb7-dd11-b898-00188b804fcd,"Avda. Diagonal 621-629, Torre 2 planta 4a",,08028,Barcelona,Spain
1228e530-53b6-dd11-b898-00188b804fcd,Wellcome Trust,contact@wellcome.ac.uk,1,United Kingdom,1527cfb5-cbb7-dd11-b898-00188b804fcd,215 Euston Road,,NW1 2BE,London,United Kingdom
1528e530-53b6-dd11-b898-00188b804fcd,Fondation de France,fondation@fdf.org,1,France,1e27cfb5-cbb7-dd11-b898-00188b804fcd,"40, Avenue Hoche",,75008,Paris,France
1e28e530-53b6-dd11-b898-00188b804fcd,Fundação Oriente,info@foriente.pt,1,Portugal,3727cfb5-cbb7-dd11-b898-00188b804fcd,"Ed. Pedro Álvares Cabral, Doca de Alcântara Norte",,1350-352,Lisbon,Portugal
1f28e530-53b6-dd11-b898-00188b804fcd,Charities Aid Foundation,enquiries@cafonline.org,1,United Kingdom,3a27cfb5-cbb7-dd11-b898-00188b804fcd,"25 Kings Hill Avenue, Kings Hill
West Malling",,ME19 4TA,Kent,United Kingdom
2528e530-53b6-dd11-b898-00188b804fcd,Barrow Cadbury Trust,general@barrowcadbury.org.uk,1,United Kingdom,f38fcabb-cbb7-dd11-b898-00188b804fcd,"Kean House, 6 Kean Street",,WC2B 4AS,London,United Kingdom
2828e530-53b6-dd11-b898-00188b804fcd,"German Marshall Fund of the United States, The",info@gmfus.org,1,United States,fc8fcabb-cbb7-dd11-b898-00188b804fcd,"1744 R Street, NW",,20009,"Washington, DC",United States
2928e530-53b6-dd11-b898-00188b804fcd,Charles Stewart Mott Foundation,info@mott.org,1,United States,0290cabb-cbb7-dd11-b898-00188b804fcd,"503 South Saginaw St., Suite 1200",,48502,"Flint, MI",United States
2c28e530-53b6-dd11-b898-00188b804fcd,Fundação Calouste Gulbenkian,info@gulbenkian.pt,1,Portugal,1090cabb-cbb7-dd11-b898-00188b804fcd,Avenida de Berna 45ª,,1067-001,Lisbon,Portugal
2d28e530-53b6-dd11-b898-00188b804fcd,Finnish Cultural Foundation,yleisinfo@skr.fi,1,Finland,1490cabb-cbb7-dd11-b898-00188b804fcd,"P.O. Box 203, Bulevardi 5 A 13",,00121,Helsinki,Finland
3728e530-53b6-dd11-b898-00188b804fcd,Körber-Stiftung,info@koerber-stiftung.de,1,Germany,2e90cabb-cbb7-dd11-b898-00188b804fcd,"Kehrwieder, 12",,20457,Hamburg,Germany
3828e530-53b6-dd11-b898-00188b804fcd,Fondazione Adriano Olivetti,segreteria@fondazioneadrianolivetti.it,1,Italy,2f90cabb-cbb7-dd11-b898-00188b804fcd,"Via Giuseppe Zanardelli, 34",,00186,Rome,Italy
4428e530-53b6-dd11-b898-00188b804fcd,"Pew Charitable Trusts, The",partnerships@pewtrusts.org,,United States,4490cabb-cbb7-dd11-b898-00188b804fcd,"One Commerce Square, 2005 Market St. Suite 2800",,PA 19103-7077,Philadelphia,United States
4528e530-53b6-dd11-b898-00188b804fcd,Rockefeller Brothers Fund,communications@rbf.org,1,United States,4690cabb-cbb7-dd11-b898-00188b804fcd,"475 Riverside Drive, Suite 900",,NY 10115,New York,United States
4628e530-53b6-dd11-b898-00188b804fcd,"Rockefeller Foundation, The",,,United States,4990cabb-cbb7-dd11-b898-00188b804fcd,420 Fifth Avenue,,NY 10018-2702,New York,United States
4e28e530-53b6-dd11-b898-00188b804fcd,Fundación Ramón Areces,secretaria@fundacionareces.es,1,Spain,5a90cabb-cbb7-dd11-b898-00188b804fcd,"Calle Vitruvio, 5",,28006,Madrid,Spain
5228e530-53b6-dd11-b898-00188b804fcd,Sabanci Foundation,info@sabancivakfi.org,1,Turkey,5f90cabb-cbb7-dd11-b898-00188b804fcd,"Sabanci Center, 4. Levent","Kule:2, Kat:8",34330,Istanbul,Turkey
